#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000009885.1	PRJNA224116	SAMD00060934		na	484021	573	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	strain=NTUH-K2044		latest	Complete Genome	Major	Full	2005/01/05	ASM988v1	National Health Research Institutes	GCA_000009885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/885/GCF_000009885.1_ASM988v1		
GCF_000016305.1	PRJNA224116	SAMN02603941		na	272620	573	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	strain=ATCC 700721; MGH 78578		latest	Complete Genome	Major	Full	2007/07/05	ASM1630v1	The Klebsiella pneumoniae Genome Sequencing Project	GCA_000016305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/305/GCF_000016305.1_ASM1630v1		
GCF_000163455.1	PRJNA224116	SAMN00120581	ACZD00000000.1	na	667127	573	Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884	strain=ATCC 13884		latest	Scaffold	Major	Full	2009/09/24	ASM16345v1	Baylor College of Medicine	GCA_000163455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/455/GCF_000163455.1_ASM16345v1		assembly from type material
GCF_000219945.1	PRJNA224116	SAMN02469846	AFQK00000000.1	na	1037890	573	Klebsiella pneumoniae JH1	strain=JH1		latest	Contig	Major	Full	2011/07/05	ASM21994v2	GlaxoSmithKline	GCA_000219945.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/945/GCF_000219945.1_ASM21994v2		
GCF_000219965.1	PRJNA224116	SAMN02469847	AFQL00000000.1	na	1037908	573	Klebsiella pneumoniae 1162281	strain=1162281		latest	Contig	Major	Full	2011/07/05	ASM21996v2	GlaxoSmithKline	GCA_000219965.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/965/GCF_000219965.1_ASM21996v2		
GCF_000220485.1	PRJNA224116	SAMN02603582		na	1049565	573	Klebsiella pneumoniae KCTC 2242	strain=KCTC 2242		latest	Complete Genome	Major	Full	2011/07/12	ASM22048v1	Macrogen Inc.	GCA_000220485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/485/GCF_000220485.1_ASM22048v1		
GCF_000240185.1	PRJNA84387	SAMN02602959		reference genome	1125630	573	Klebsiella pneumoniae subsp. pneumoniae HS11286	strain=HS11286		latest	Complete Genome	Major	Full	2011/12/27	ASM24018v2	 Bioinformatics & Microbial Genomics, State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University	GCA_000240185.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/185/GCF_000240185.1_ASM24018v2		
GCF_000255975.2	PRJNA224116	SAMN02469356	AJHE00000000.2	na	1162297	573	Klebsiella pneumoniae subsp. pneumoniae LCT-KP214	strain=LCT-KP214		latest	Scaffold	Major	Full	2013/10/23	ASM25597v2	BGI	GCA_000255975.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/975/GCF_000255975.2_ASM25597v2		
GCF_000263095.1	PRJNA224116	SAMN02470950	AJVY00000000.1	na	1177153	573	Klebsiella pneumoniae subsp. pneumoniae LZ	strain=LZ		latest	Contig	Major	Full	2012/05/16	Klebphe1.0	Shanghai Jiao Tong University	GCA_000263095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/095/GCF_000263095.1_Klebphe1.0		
GCF_000281255.1	PRJNA224116	SAMN01057609	AJZV00000000.1	na	1087441	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH2	strain=KPNIH2		latest	Contig	Major	Full	2012/07/24	KPNIH2_1	NIH Intramural Sequencing Center	GCA_000281255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/255/GCF_000281255.1_KPNIH2_1		
